ISIN/CUSIP,Fund Name,Objective
LU0800106485,AB Emerging Market Corporate Debt Portfolio,"Seeks to maximize total returns from a combination of price appreciation and income by: Investing predominantly in a diversified basket of emerging-market (EM) hard-currency corporate debt issues, with opportunistic allocations to EM sovereign debt and EM local-currency debt Leveraging our extensive experience in EM-debt investing, utilizing fundamental and quantitative research capabilities with a global team of portfolio managers and traders."
LU0289950320,AB Dynamic Diversified Portfolio,"Seeks to maximize total return by Utilizing a proprietary ?Dynamic Asset Allocation? strategy to build a globally diversified, multi-asset fund with an attractive risk/return profile, Actively adjusting exposures to equity, fixed income, real estate-related securities, currencies, commodity-related securities and alternative investments, Determining the relative attractiveness of various asset classes based on changing market conditions and the Investment Manager?s outlook."
Uknown,AB Conservative Wealth Strategy,"Emphasizes stability and capital preservation, while maintaining a small exposure to stocks for additional return potential. Stock holdings are diversified across investment styles, company sizes and geographic regions. Asset-class weightings are periodically rebalanced to maintain target portfolio allocation."
LU1011999163,AB Concentrated US Equity Portfolio,Seeks long-term growth of capital by Investing in a concentrated portfolio of US growth companies with strong fundamentals trading at attractive valuations. Emphasizing businesses with a strong track record and sustainable growth trajectories to reduce volatility. Employing rigorous bottom-up research to selectively invest in high-conviction ideas while managing risk.
Uknown,AB Conservative Wealth Strategy,"Emphasizes stability and capital preservation, while maintaining a small exposure to stocks for additional return potential. Stock holdings are diversified across investment styles, company sizes and geographic regions. Asset-class weightings are periodically rebalanced to maintain target portfolio allocation."
LU1011999163,AB Concentrated US Equity Portfolio,Seeks long-term growth of capital by Investing in a concentrated portfolio of US growth companies with strong fundamentals trading at attractive valuations. Emphasizing businesses with a strong track record and sustainable growth trajectories to reduce volatility. Employing rigorous bottom-up research to selectively invest in high-conviction ideas while managing risk.
LU1174051927,AB Concentrated Global Equity Portfolio,"Seeks long-term growth of capital by: Investing in a concentrated portfolio of growth companies with strong fundamentals located around the world trading at attractive valuations, Emphasizing businesses with a strong track record and sustainable growth trajectories to reduce volatility, Employing rigorous bottom-up research to selectively invest in high-conviction ideas while managing risk."
LU0289989617,AB China Opportunity Portfolio,"Seeks long-term capital appreciation by Investing primarily in Chinese and China-related stocks that offer compelling return potential. Constructing a portfolio of high-conviction investments from across multiple industries, sectors or styles. Employing a disciplined, bottom-up approach that combines fundamental research with proprietary quantitative tools to identify attractive investment opportunities while managing risk."
LU1238071622,AB China Bond Portfolio,The Portfolio's investment objective is to achieve high total returns through current income and long-term capital appreciation.
LU0289989617,AB China Opportunity Portfolio,"Seeks long-term capital appreciation by Investing primarily in Chinese and China-related stocks that offer compelling return potential. Constructing a portfolio of high-conviction investments from across multiple industries, sectors or styles. Employing a disciplined, bottom-up approach that combines fundamental research with proprietary quantitative tools to identify attractive investment opportunities while managing risk."
LU1238072273,AB China Bond Portfolio,The Portfolio's investment objective is to achieve high total returns through current income and long-term capital appreciation.
Uknown,AB Bond Inflation Strategy,The fund aims to maximize real return without assuming what the Adviser considers to be undue risk.
Uknown,AB Blended Style International Portfolio,"The fund seeks long-term growth of capital through investments in equity securities of established foreign companies comprising the MSCI EAFE Index, plus Canada."
LU0912929048,AB AXA High Yield Loan II Portfolio,The Portfolio's investment objective is to achieve superior risk adjusted returns by investing in a diversified portfolio of loans generally rated below investment grade.
LU1467538093,AB Asia Income Opportunities Portfolio,"The Portfolio will invest at least 70% of its total assets in USD-denominated fixed-income securities issued by Asian issuers, including fixed-income securities issued by corporate, sovereign and other governmental issuers in both developed and emerging markets economies."
LU0592506470,AB Asia Ex Japan Equity Portfolio,"Seeks long-term growth of capital and income by Investing in undervalued stocks in the Asia ex-Japan region that offer compelling longterm return potential, Employing a disciplined, bottom-up approach that combines fundamental research with proprietary quantitative tools to identify attractive investment opportunities, Leveraging the local knowledge of AB?s Asian based investment team as well as the global insights of the firm?s worldwide research organization."
LU0592505746,AB American Income Portfolio,"Seeks to provide a high level of current income consistent with preservation of capital by Employing a US dollar-denominated multi-sector bond approach in search of the best opportunities, Dynamically balancing credit and duration through investments in high yield and emerging market sectors to enhance income and dampen interest-rate risk, and in high-quality government bonds to alleviate credit risk when markets are stressed, Limiting exposure to below investment-grade rated bonds to 50% and avoiding CCC-rated issuers"
LU0289960048,AB All Market Income Portfolio,"Seeks income generation and long-term growth by investing across a broad universe of global fixed income, global equities and non-traditional assets and strategies. Dynamically adjusting exposures by allocating across asset classes based on changing market conditions. Leveraging asset class experts at AB to provide superior security selection."
LU0233367746,AB ACM US Corporate Portfolio,The investment objective of the Portfolio is to achieve a high total return primarily through investment in a diversified portfolio of fixed income securities including fixed and floating rate corporate and government securities.
LU0849849814,AA MMF Wellington European Equities,"The Single Manager Fund seeks to increase the value of its assets over the long term by investing in shares issued by European companies, or companies operating in Europe. The Single Manager Fund is actively managed and as such may invest in securities that are not included in the investment universe represented by MSCI Europe. Income is systematically reinvested."
LU0851650977,AA MMF TCW US Equities,"The Single Manager Fund seeks to increase the value of its assets over the long term by investing in shares issued by North American companies, or companies operating in North America. The Single Manager Fund is actively managed and as such may invest in securities that are not included in the investment universe represented by MSCI USA. Income is systematically reinvested."
LU0979879557,AA MMF Schroder Euro Corporate Bonds,The Single Manger Fund seeks to increase the value of its assets over the medium term by investing directly in euro denominated corporate bonds and/or other corporate debt instruments of international issuers. The Single Manager Fund is actively managed and as such may invest in securities that are not included in the investment universe represented by iBoxx Euro Corporate.
LU0979881611,AA MMF Pzena US Equities,"The Single Manager Fund seeks to increase the value of its assets over the long term by investing in shares issued by North American companies, or companies operating in North America. The Single Manager Fund is actively managed and as such may invest in securities that are not included in the investment universe represented by MSCI USA. Income is systematically reinvested."
LU1406019262,AA MMF Pzena European Equities,"The Single Manager Fund seeks to increase the value of its assets over the long term by investing in shares issued by European companies, or companies operating in Europe. The Single Manager Fund is actively managed and as such may invest in securities that are not included in the investment universe represented by MSCI Europe. Income is systematically reinvested"
LU0121971286,AA MMF Profile 6,To provide its investors with the highest possible appreciation of capital invested while offering a broad distribution of risks.
LU0498838118,AA MMF Profile 5,"The subfund targets capital appreciation over the long term, through investments in various classes of assets."
LU0121970809,AA MMF Profile 4,To provide its investors with the highest possible appreciation of capital invested while offering a broad distribution of risks.
LU1253566563,AA MMF Profile 3,To provide its investors with the highest possible appreciation of capital invested while offering a broad distribution of risks.
LU0121970122,AA MMF Profile 2,To provide its investors with the highest possible appreciation of capital invested while offering a broad distribution of risks.
LU0498837904,AA MMF Profile 1,To provide its investors with the highest possible appreciation of capital invested while offering a broad distribution of risks.
LU1481506050,AA MMF Parnassus US Sustainable Equities,To provide long-term capital appreciation.
LU0756526231,AA MMF Hermes European Equities,To provide long-term capital appreciation.
LU0979880647,AA MMF Henderson European Smaller Companies Equities,"The Single Manager Fund seeks to increase the value of its assets over the long term by investing in shares issued by European companies, or companies operating in Europe and having their market capitalisation below 5.0 bilion euro. The Single Manager Fund is actively managed and as such may invest in securities that are not included in the investment universe represented by MSCI Europe Small Cap. Income is systematically reinvested."
LU0321538281,AA MMF FoM North American Equities,The Fund of Mandates aims to provide long-term capital appreciation by investing in shares issued by North American companies or companies operating in North America
LU1165266112,AA MMF FoM Flexible Bonds,To provide medium term capital growth
LU0321539685,AA MMF FoM European Equities,"The sub-fund targets long-term capital growth. The sub-fund invests predominantly in transferable equity securities such as equities, other equity shares such as co-operative shares and participation certificates issued by, or warrants on transferable equity securities of, companies which are domiciled in or exercise the predominant part of their economic activity in Europe."
LU1329514035,AA MMF FoM Euro Government Bonds,"The fund aims to provide medium term capital growth through direct investments in euro denominated, mainly government bonds."
LU0321538521,AA MMF FoM Asia-Pacific Equities,The fund aims to provide long?term (more than five years) capital appreciation.
LU0715616404,8a+ SICAV Eiger,"The objective of the Sub-fund is to provide capital appreciation over the long term by generating higher returns than those provided by the market, represented by the EuroStoxx 50 TR Index."
IE00B4ZV0164,7IM Moderately Cautious (Dublin),The fund aims to provide a total return substantially by way of income with some capital appreciation. There may be a moderate risk to capital.
IE00B4ZNVT73,7IM Moderately Adventurous (Dublin),The fund aims to provide a total return primarily by way of growth in capital. There is risk of fluctuations in capital growth.
IE00BYZVXV72,7IM AAP Balanced (Dublin),The fund aims to provide a balance of income and capital growth. There may be a moderate risk to capital. There is no guarantee that a positive return will be delivered.
LU0092739993,3V Invest Swiss Small & Mid Cap,"The investment objective is to achieve an attractive long-term value and market-driven growth in Swiss francs. To achieve the investment objective, up to 100% of fund assets, but always at least two-thirds in equities of small and medium-sized companies investing resident in Switzerland and whose shares are not in the Swiss Performance Large Companies Index (SPI Large Companies Index) are represented. Smaller and medium sized companies are all companies whose market capitalization of between CHF 50 million and CHF 1.5 billion."
LU1785300622,2Xideas UCITS Global Mid Cap Library,"In order to achieve the investment objective, the Sub-Fund shall be invested in around 100 equity securities. The investment universe comprises equity securities of mid and large cap companies listed on a regulated stock exchange. In general, these securities shall be issued by companies having a market capitalization of at least USD 2 billion (or an equivalent value in another currency). The investments may be worldwide and in any currency."
IE00BD6FLW80,1167 Active ICAV Global High Income Bond,"The investment objective of the Fund is to seek to deliver a high level of income yield relative to the yield on US government treasury bonds, over the medium term."
US4642872000,iShares Core S&P 500 ETF,The iShares Core S&P 500 ETF seeks to track the investment results of an index composed of large-capitalization U.S. equities.
US4642851053,iShares Gold Trust,"The iShares Gold Trust (the 'Trust') seeks to reflect generally the performance of the price of gold.The iShares Gold Trust is not a standard ETF. The Trust is not an investment company registered under the Investment Company Act of 1940 or a commodity pool for purposes of the Commodity Exchange Act. Shares of the Trust are not subject to the same regulatory requirements as mutual funds. Before making an investment decision, you should carefully consider the risk factors and other information included in the prospectus."
US46428R1077,iShares Silver Trust,"The iShares© Silver Trust (the 'Trust') seeks to reflect generally the performance of the price of silver.The iShares Silver Trust is not a standard ETF. The Trust is not an investment company registered under the Investment Company Act of 1940 or a commodity pool for purposes of the Commodity Exchange Act. Shares of the Trust are not subject to the same regulatory requirements as mutual funds. Before making an investment decision, you should carefully consider the risk factors and other information included in the prospectus."
US46428Q1094,iShares S&P GSCI Commodity-Indexed Trust,"he iShares S&P GSCI Commodity-Indexed Trust (the 'Trust') seeks to track the results of a fully collateralized investment in futures contracts on an index composed of a diversified group of commodities futures.The iShares S&P GSCI Commodity-Indexed Trust is not a standard ETF. The Trust is not an investment company registered under the Investment Company Act of 1940. Shares of the Trust are not subject to the same regulatory requirements as mutual funds. Investments in shares of the Trust are speculative and involve a high degree of risk. Before making an investment decision, you should carefully consider the risk factors and other information included in the prospectus."
US46431W8534,iShares Commodities Select Strategy ETF,The iShares Commodities Select Strategy ETF seeks total return by providing investors with broad commodity exposure.
US46431W5985,iShares Bloomberg Roll Select Commodity Strategy ETF,"The iShares Bloomberg Roll Select Commodity Strategy ETF seeks to provide exposure, on a total return basis, to a diversified group of commodities."
US46431W6140,iShares Gold Strategy ETF,"The iShares Gold Strategy ETF seeks to provide exposure, on a total return basis, to the price performance of gold."
US4642875649,iShares Cohen & Steers REIT ETF,The iShares Cohen & Steers REIT ETF seeks to track the investment results of an index composed of U.S. real estate investment trusts (?REITs?).
US4642877397,iShares U.S. Real Estate ETF,The iShares U.S. Real Estate ETF seeks to track the investment results of an index composed of U.S. equities in the real estate sector.
US4642884716,iShares Europe Developed Real Estate ETF,The iShares Europe Developed Real Estate ETF seeks to track the investment results of an index composed of real estate equities in developed European markets.
US4642884898,iShares International Developed Real Estate ETF,The iShares International Developed Real Estate ETF seeks to track the investment results of an index composed of real estate equities in developed non-U.S markets.
US46435G3424,iShares Mortgage Real Estate ETF,The iShares Mortgage Real Estate ETF seeks to track the investment results of an index composed of U.S. REITs that hold U.S. residential and commercial mortgages.
US4642885218,iShares Core U.S. REIT ETF,The iShares Core U.S. REIT ETF seeks to track the investment results of an index composed of U.S. real estate equities.
US4642885622,iShares Residential Real Estate ETF,"The iShares Residential Real Estate ETF seeks to track the investment results of an index composed of U.S. residential, healthcare and self-storage real estate equities."
US4642884229,iShares International Developed Property ETF,The iShares International Developed Property ETF seeks to track the investment results of an index composed of real estate equities in developed non-U.S markets.
US46434V6478,iShares Global REIT ETF,The iShares Global REIT ETF seeks to track the investment results of an index composed of global real estate equities in developed and emerging markets.
US46432F8757,iShares Morningstar Multi-Asset Income ETF,"The iShares Morningstar Multi-Asset Income ETF seeks to track the investment results of an index composed of underlying equity, fixed income and other income funds that collectively seek to deliver high current income while providing an opportunity for capital appreciation."
US4642898591,iShares Core Aggressive Allocation ETF,The iShares Core Aggressive Allocation ETF seeks to track the investment results of an index composed of a portfolio of underlying equity and fixed income funds intended to represent an aggressive target risk allocation strategy.
US4642898831,iShares Core Conservative Allocation ETF,The iShares Core Conservative Allocation ETF seeks to track the investment results of an index composed of a portfolio of underlying equity and fixed income funds intended to represent a conservative target risk allocation strategy.
US4642898674,iShares Core Growth Allocation ETF,The iShares Core Growth Allocation ETF seeks to track the investment results of an index composed of a portfolio of underlying equity and fixed income funds intended to represent a growth allocation target risk strategy.
US4642898757,iShares Core Moderate Allocation ETF,The iShares Core Moderate Allocation ETF seeks to track the investment results of an index composed of a portfolio of underlying equity and fixed income funds intended to represent a moderate target risk allocation strategy.
02631L 71 8,American Funds Retirement Income Portfolio,"The fund strives for the accomplishment of three investment objectives: current income, long-term growth of capital and conservation of capital, with an emphasis on income and growth of capital."
02631L 84 1,American Funds Retirement Income Portfolio,"The fund strives for the balanced accomplishment of three investment objectives: current income, long-term growth of capital and conservation of capital."
02631L 10 6,American Funds Retirement Income Portfolio,"The fund strives for the accomplishment of three investment objectives: current income, long-term growth of capital and conservation of capital, with an emphasis on income and conservation of capital."
02629M 29 8,American Funds College 2036 Fund,"The fund will seek to achieve the following objectives to varying degrees: growth, income and preservation of capital, depending on the proximity to its target date. The target date is meant to roughly correspond to the year in which the fund beneficiary will start to withdraw funds to meet higher education expenses. The fund will increasingly emphasize income and preservation of capital by investing a greater portion of its assets in bond, equity-income and balanced funds as it approaches and passes its target date. In this way, the fund seeks to achieve an appropriate balance of total return and stability during different time periods."
02629M 58 7,American Funds College 2033 Fund,"The fund will seek to achieve the following objectives to varying degrees: growth, income and preservation of capital, depending on the proximity to its target date. The target date is meant to roughly correspond to the year in which the fund beneficiary will start to withdraw funds to meet higher education expenses. The fund will increasingly emphasize income and preservation of capital by investing a greater portion of its assets in bond, equity-income and balanced funds as it approaches and passes its target date. In this way, the fund seeks to achieve an appropriate balance of total return and stability during different time periods."
02629M 10 8,American Funds College 2030 Fund,"The fund will seek to achieve the following objectives to varying degrees: growth, income and preservation of capital, depending on the proximity to its target date. The target date is meant to roughly correspond to the year in which the fund beneficiary will start to withdraw funds to meet higher education expenses. The fund will increasingly emphasize income and preservation of capital by investing a greater portion of its assets in bond, equity-income and balanced funds as it approaches and passes its target date. In this way, the fund seeks to achieve an appropriate balance of total return and stability during different time periods."
02629M 64 5,American Funds College Enrollment Fund,"The fund's investment objective is to provide current income, consistent with preservation of capital."
02630B 10 9,The Tax-Exempt Fund of California,The fund's primary investment objective is to provide you with a high level of current income exempt from regular federal and California income taxes. Its secondary objective is preservation of capital.
02630Y 62 0,American Funds Tax-Advantaged Growth,"The fund's investment objective is to provide current income, a portion of which is exempt from regular federal income tax, while secondarily striving for long-term growth of capital."
02630Y 10 9,American Funds Tax-Exempt Preservation,"The fund's investment objective is to provide current income that is exempt from regular federal income tax, consistent with preservation of capital."
876902 10 7,The Tax-Exempt Bond Fund of America,"The fund's investment objective is to provide you with a high level of current income exempt from federal income tax, consistent with the preservation of capital."
532726 10 6,Limited Term Tax-Exempt Bond Fund of America,"The fund's investment objective is to provide you with current income exempt from regular federal income tax, consistent with the maturity and quality standards described in this prospectus, and to preserve capital."
02630W 10 3,American Funds Short-Term Tax-Exempt Bond Fund,"The fund's investment objective is to provide you with current income exempt from regular federal income tax, consistent with the maturity and quality standards described in this prospectus, and to preserve capital."
02630D 10 5,American Funds Inflation Linked Bond,The fund's investment objective is to provide inflation protection and income consistent with investment in inflation linked securities.
02630W 10 3,American Funds Short-Term Tax-Exempt Bond Fund,"The fund's investment objective is to provide you with current income exempt from regular federal income tax, consistent with the maturity and quality standards described in this prospectus, and to preserve capital."
360802 10 2,Fundamental Investors,The fund's investment objective is to achieve long-term growth of capital and income.
643822 10 9,The New Economy Fund,The investment objective of the fund is long-term growth of capital. Current income is a secondary consideration.
453320 10 3,The Income Fund of America,The fund's investment objectives are to provide you with current income while secondarily striving for capital growth.
648018 10 9,New Perspective Fund,The fund's primary investment objective is to provide you with long-term growth of capital. Future income is a secondary objective.
831681 10 1,SMALLCAP World Fund,The fund's investment objective is to provide you with long-term growth of capital.
649280 10 4,New World Fund,The fund's investment objective is long-term capital appreciation.
939330 10 6,Washington Mutual Investors Fund,The fund's investment objective is to produce income and to provide an opportunity for growth of principal consistent with sound common stock investing.
831681 10 1,SMALLCAP World Fund,The fund's investment objective is to provide you with long-term growth of capital.
02631C 44 5,American Funds 2060 Target Date Retirement Fund,"Depending on the proximity to its target date, the fund will seek to achieve the following objectives to varying degrees: growth, income and conservation of capital. The fund will increasingly emphasize income and conservation of capital by investing a greater portion of its assets in bond, equity income and balanced funds as it approaches and passes its target date. In this way, the fund seeks to balance total return and stability over time."
CPUAX,AAM Select Income Fund,"The Fund seeks current income. The Fund will primarily invest in bonds rated investment grade at the time of purchase by a NRSRO. The Sub-advisor expects that the Funds duration will remain between four and eight years  However, the Funds duration may be lengthened or shortened depending on market conditions."
AFNAX,AAM/Bahl & Gaynor Income Growth Fund,"The Fund seeks current and growing income and secondarily long-term capital appreciation. Under normal market conditions, the Fund will invest at least 80% of its assets plus borrowings for investment purposes in equity securities that have historically paid dividends."
ASDAX,AAM/HIMCO Short Duration Fund,"The Fund seeks to provide current income and long-term total return. The Fund seeks to achieve by investing in securities that the Funds sub-advisor considers to be attractive, based on current and historical yield and total return. The Fund invests at least 65% of its total assets in investment grade securities."
MRKAX,AB All Market Income Portfolio,"The Fund seeks current income with consideration of capital appreciation. The Adviser will allocate the Funds investments among a broad range of income-producing securities, including common stock of companies that regularly pay dividends, debt securities, preferred stocks, and derivatives related to these securities."
AMTOX,AB All Market Real Return Portfolio,The Fund seeks to maximize real return over inflation.  The Fund pursues an aggressive investment strategy involving a variety of asset classes.  The Fund invests primarily in instruments that the Adviser expects to outperform broad equity indices during periods of rising inflation.
AAZAX,AB Arizona Portfolio,"The Fund seeks to earn the highest level of current income, exempt from Federal and Arizona state taxation.  The Fund pursues its objective by investing principally in municipal securities issued by Arizona or municipal securities with interest that is otherwise exempt from the named state's income tax."
ABWAX,AB Balanced Wealth Strategy,"The Fund seeks the highest possible total return consistent with the adviser's determination of reasonable risk.  The Fund pursues a global strategy, typically investing in securities of issuers located in the United States and in other countries throughout the world, including emerging market countries."
ABNOX,AB Bond Inflation Strategy,The Fund seeks to maximize real return without assuming what the Adviser considers to be undue risk.  The Fund invests principally in Treasury Inflation Protected Securities (TIPS) directly or by gaining indirect exposure to TIPS through derivatives transactions such as total return swaps linked to TIPS.
ALCAX,AB California Portfolio,"The Fund seeks to earn the highest level of current income, exempt from federal income tax and California personal income tax that is available without assuming what the Adviser considers to be undue risk to income or principal. The Fund invests principally in high-yielding, investment grade municipal securities."
WPASX,AB Concentrated Growth Fund,The Fund seeks to provide capital gains for shareholders by investing in common stocks listed on the New York Stock Exchange.
CIAGX,AB Concentrated International Growth Portfolio,"The Fund seeks long-term growth of capital. The Fund will be investing primarily in common stocks of non-U.S. companies, and in companies in at least three countries other than the United States. The Fund will invest in companies that are determined by the Adviser to offer favorable long-term growth potential."
ABPAX,AB Conservative Wealth Strategy,"The Fund seeks to achieve a high total return without, in the opinion of the Adviser, undue risk to principal. The Adviser allocates the Funds investments among a number of asset classes, including fixed-income securities, equity securities, and alternative asset classes and alternative investment strategies."
ADGAX,AB Core Opportunities Fund,"The Fund seeks long-term growth of capital. The Fund invests in the equity securities of US companies that the Adviser believes are undervalued. The Adviser believes that, over time, a company's stock price will come to reflect its intrinsic economic value. It may invest in companies of any size and in any industry."
ACISX,AB Corporate Income Shares (ACISX),"The Fund seeks to earn high current income. The Fund invests at least 80% of its net assets in U.S. corporate bonds. The Fund normally invests all of its assets in securities that are rated, at the time of purchase, at least BBB- or the equivalent. The Fund will not invest in unrated corporate debt securities."
CHCLX,AB Discovery Growth Fund,The Fund seeks long-term growth of capital. The Fund invests primarily in a diversified portfolio of equity securities with relatively smaller capitalizations. The Fund invests at least 80% of its net assets in the equity securities of small and mid-capitalization companies.
ABASX,AB Discovery Value Fund,The Fund seeks long-term growth of capital by investing primarily in a diversified portfolio of equity securities of companies that have small market capitalizations.
ABAEX,AB Emerging Markets Multi-Asset Portfolio,The Fund seeks to maximize total return. The Fund invests at least 80% of its net assets under normal circumstances in securities of emerging market issuers and/or the currencies of emerging market countries. The Fund may invest up to 20% of its net assets in the securities of developed market issuers.
AUIAX,AB Equity Income Fund,The Fund seeks current income and capital appreciation.  The Fund invests primarily in income-producing equity securities.
ANAGX,AB Global Bond Fund,The Fund seeks to generate current income consistent with preservation of capital. The Fund seeks to invest at least 80% of its net assets in government securities and at least 65% of its net assets in debt securities issued or guaranteed by governments of countries that are members of OECD.
GCEAX,AB Global Core Equity Portfolio,"The Fund seeks long-term growth of capital. The Fund invests primarily in a portfolio of equity securities of issuers from markets around the world. The Fund invests at least 80% of its net assets in equity securities, at least 40% of its net assets in securities of non-U.S. companies of at least three countries."
ARIIX,AB Global Real Estate Investment Fund II,The Fund seeks a total return on its assets from long term growth of capital and from income principally through investing in a portfolio of equity securities of issuers that are primarily engaged in the Real Estate industry.
AREAX,AB Global Real Estate Investment Fund,The Fund seeks long-term growth of capital and income through investing in equity securities of issuers that are primarily engaged in or related to the real estate industry.
CABNX,AB Global Risk Allocation Fund,"The Fund seeks high return through a combination of current income and capital appreciation. The Fund will not purchase a security if, as a result of such a purchase, less than 25% of its total assets will be in fixed-income senior securities."
ALTFX,AB Global Thematic Growth Fund,The Fund seeks long-term growth of capital.  The Fund pursues opportunistic growth by investing in a global universe of companies in multiple industries that may benefit from innovation.
GMOXX,AB Government Money Market Portfolio,"The Fund seeks maximum current income to the extent consistent with safety of principal and liquidity. The Fund invests at least 99.5% of its total assets in cash, marketable obligations issued or guaranteed by the U.S. Government, its agencies or instrumentalities and repurchase agreements that are collateralized fully."
CABDX,AB Growth & Income Fund,"The Fund seeks to provide income and capital appreciation by investing primarily in dividend-paying common stocks. It may invest, to a limited extent, in fixed-income and convertible securities."
AGRFX,AB Growth Fund,The Fund seeks long-term growth of capital by investing primarily in common stocks and other equity securities.
AGDAX,AB High Income Fund,"The Fund seeks primarily a high level of current income and secondarily, capital appreciation. The Fund invests in a non-diversified portfolio of sovereign debt obligations and in US and non-US corporate fixed income securities. Substantially, all of the Fund's assets are invested in lower-rated securities."
ABTHX,AB High Income Municipal Portfolio,"The Fund seeks to earn the highest level of current income, exempt from federal taxation, that is available consistent with what the Adviser considers to be an appropriate level of risk.  The Fund invests principally in high-yielding municipal securities that may be non-investment grade or investment grade."
HIYYX,AB High Yield Portfolio,"The Fund seeks to maximize total return consistent with prudent investment management. At least 80% of the Funds net assets will be invested in fixed-income securities rated Ba1 or lower by Moodys or BB+ or lower by S&P or Fitch, unrated securities considered to be of comparable quality, and related derivatives."
AKGAX,AB Income Fund,"The Fund seeks high current income consistent with the preservation of capital. The Fund normally invests at least 65% of its assets in securities issued or guaranteed by the U.S. Government, its agencies or instrumentalities, and repurchase agreements pertaining to U.S. Government securities."
ABQUX,AB Intermediate Bond Portfolio,"The Fund seeks a high level of current income consistent with preservation of capital, by investing in investment-grade fixed-income securities. The Fund normally invests all of its assets in securities that are rated at least BBB- by S&P or, if unrated, are of comparable quality."
AWPAX,AB International Growth Fund,"The Fund seeks long-term capital appreciation by investing principally in equity securities issued by enterprises that are undergoing, or have undergone, privatization."
IRCYX,AB International Small Cap Ptf,The Portfolio seeks to provide long-term growth of capital. It invest 80% of its net assets in equity securities of small capitalization companies or other securities or instruments. It will invest in a diversified portfolio of equity securities of small-capitalization companies located outside of the United States.
ISARX,AB International Strategic Core Portfolio,"The Fund seeks long-term growth of capital. The Fund invests in common stocks of non-U.S. companies, and in companies in at least three countries other than the United States. The Fund will invest in companies that are offer favorable long-term sustainable profitability, price stability, and attractive valuations."
STEYX,AB International Strategic Equities,"The Portfolio seeks to provide long-term growth of capital. The Manager will invest the assets of the Portfolio (under normal circumstances, at least 65% of net assets) in equity securities of issuers in countries that make up the MSCI ACWI ex-US Index, which includes both developed and emerging market countries."
ABIAX,AB International Value Fund,The Fund seeks long-term growth of capital.  The Fund invests primarily in a diversified portfolio of equity securities of established companies selected from more than 40 industries and more than 40 developed and emerging market countries.
